Date,Ticker,Close,High,Low,Open,Volume
2018-06-26,NESTLEIND.NS,935.6145629882812,944.474801519993,915.0225933052986,921.261856548673,1363200
2018-06-27,NESTLEIND.NS,927.714599609375,946.1448390814637,923.3958368621378,937.8876763831291,824240
2018-06-28,NESTLEIND.NS,906.66796875,936.5887075498848,902.219304216521,930.3726047529043,729300
2018-06-29,NESTLEIND.NS,910.156494140625,918.3116153986147,907.085561384023,918.3116153986147,633690
2018-07-02,NESTLEIND.NS,905.9862060546875,917.5694631901476,902.7529238117565,917.5694631901476,359050
2018-07-03,NESTLEIND.NS,907.7953491210938,912.8285169424544,902.5070205355481,911.4414979105089,557360
2018-07-04,NESTLEIND.NS,915.0367431640625,917.5695510032522,906.6218164218182,909.7762177069653,253850
2018-07-05,NESTLEIND.NS,923.7900390625,926.8423978216006,917.5739364696433,920.7840577188252,169100
2018-07-06,NESTLEIND.NS,922.4912109375,933.3183281155391,920.7655632218314,923.112804262134,365430
2018-07-09,NESTLEIND.NS,918.4463500976562,927.6823672942481,917.3886728679429,927.6823672942481,146980
2018-07-10,NESTLEIND.NS,928.2620239257812,933.3369255542249,918.9610577076171,918.9610577076171,393140
2018-07-11,NESTLEIND.NS,945.4629516601562,954.3789116829327,923.507178551373,929.7232252174482,553870
2018-07-12,NESTLEIND.NS,930.4700927734375,951.0156856020604,927.8954948318841,950.7837418821687,355690
2018-07-13,NESTLEIND.NS,940.9493408203125,948.1952607237989,934.7285940889573,937.0526748076162,370910
2018-07-16,NESTLEIND.NS,946.3953857421875,949.7771435044453,941.6915600215332,946.3211478917802,269330
2018-07-17,NESTLEIND.NS,975.2538452148438,978.7097841353564,945.4026419118485,946.5159831393793,859190
2018-07-18,NESTLEIND.NS,964.28759765625,978.8119429238442,953.9521702372631,976.9471060542638,740320
2018-07-19,NESTLEIND.NS,954.6155395507812,969.4783992787734,948.3808623727737,966.2822643728133,422260
2018-07-20,NESTLEIND.NS,960.080078125,966.7369090685473,946.3305024214825,955.1582951595253,432780
2018-07-23,NESTLEIND.NS,964.2734985351562,969.2463582317129,957.9321935605589,965.1642394200186,197210
2018-07-24,NESTLEIND.NS,954.7314453125,970.6473375784725,951.1733515742317,965.071401393926,320790
2018-07-25,NESTLEIND.NS,949.4476318359375,960.3768464612618,946.3303220127002,956.5126280718391,230100
2018-07-26,NESTLEIND.NS,957.8255615234375,961.1748153881499,946.6133812497603,946.6133812497603,288340
2018-07-27,NESTLEIND.NS,954.1376342773438,966.0363017472499,943.4078589564249,963.030320212668,333200
2018-07-30,NESTLEIND.NS,939.1309814453125,955.6082749355725,935.6332514834374,955.6036315302999,351150
2018-07-31,NESTLEIND.NS,976.9840698242188,981.5857968651031,938.0963505247896,944.4655158458484,701140
