Date,Ticker,Close,High,Low,Open,Volume
2018-01-01,M&M.NS,690.352783203125,703.5637236961242,688.8230727226916,696.2397410696385,2476302
2018-01-02,M&M.NS,698.001220703125,702.7293241286906,691.8824353812704,699.020989964423,3020597
2018-01-03,M&M.NS,699.8553466796875,703.6563663409356,695.3126149613988,700.7824301663027,2256643
2018-01-04,M&M.NS,700.875244140625,705.5106624219784,695.7762840311364,705.5106624219784,1663380
2018-01-05,M&M.NS,701.1995849609375,703.1928371265485,698.6501053273212,700.8751283687154,1255982
2018-01-08,M&M.NS,704.4909057617188,704.583591495142,701.3851415062838,701.8486833427938,2309604
2018-01-09,M&M.NS,706.8548583984375,710.1459936578514,701.9876697996076,704.5834924020457,1947163
2018-01-10,M&M.NS,704.4444580078125,709.2189612303647,699.2064695652275,706.4840532655443,1275821
2018-01-11,M&M.NS,710.7487182617188,712.8809993858464,700.4117127070151,704.8617030062156,2291617
2018-01-12,M&M.NS,711.5367431640625,713.3909105729591,706.2060118634848,711.1658870484036,1363265
2018-01-15,M&M.NS,703.841796875,719.0923316013551,700.5506618026706,713.8542872493524,2127778
2018-01-16,M&M.NS,692.2532958984375,706.9475474852887,686.9689083633202,703.6564122102026,1611817
2018-01-17,M&M.NS,691.0016479492188,699.0209426707613,684.9756053399881,692.5777011793391,1940533
2018-01-18,M&M.NS,703.8881225585938,709.2188524956526,690.677183149361,695.3126004859339,2810014
2018-01-19,M&M.NS,709.5897216796875,712.2782298339623,693.7365601437137,704.5834482294463,2005133
2018-01-22,M&M.NS,704.212646484375,712.9272545444114,700.8751683167426,706.5303553743113,934811
2018-01-23,M&M.NS,712.9735717773438,716.6355630087503,705.8814167798809,706.3913014004011,2775928
2018-01-24,M&M.NS,700.3189697265625,714.781451162908,697.5377189438275,712.9736268371918,2080315
2018-01-25,M&M.NS,702.5439453125,706.4377077746532,693.7829939188285,701.338747941634,2878048
2018-01-29,M&M.NS,708.6163330078125,715.7085452415574,702.0804048895787,702.0804048895787,2074165
2018-01-30,M&M.NS,709.1262817382812,712.6028453042919,698.1866497828131,708.2918838485614,1648188
2018-01-31,M&M.NS,707.4111328125,714.9205439567478,701.4778316969,709.0335291197231,2242045
2018-02-01,M&M.NS,740.5079345703125,744.0308405007835,707.364699940092,712.8345151423102,6896060
2018-02-02,M&M.NS,714.0860595703125,741.6667934518014,709.728755841846,740.5079390870329,3783976
2018-02-05,M&M.NS,705.0470581054688,713.6225811659232,690.6772627068694,707.2720813171927,2018332
2018-02-06,M&M.NS,696.9815063476562,704.4909181823313,677.4664060034629,689.5648368327363,5626253
2018-02-07,M&M.NS,692.6241455078125,715.662207270596,689.5184380342415,711.44398814309,1909559
2018-02-08,M&M.NS,697.3523559570312,705.2325672431796,691.6044258196071,699.0210952653938,3024010
2018-02-09,M&M.NS,695.3590087890625,698.3720303414184,687.8959974917036,692.5314152645589,2214895
2018-02-12,M&M.NS,691.6043090820312,713.8543136637588,688.8230585093153,713.8543136637588,2662221
2018-02-14,M&M.NS,692.4850463867188,698.9746310248986,687.9423145061178,696.9813788235826,1207191
2018-02-15,M&M.NS,694.7101440429688,696.5179685647123,689.2867270624361,693.5512894245046,1652980
2018-02-16,M&M.NS,689.5185546875,698.789392397584,687.8961580882353,697.7696228833559,1042980
2018-02-19,M&M.NS,671.8110961914062,690.4917951905478,663.8381439592237,689.7501396906137,1185926
2018-02-20,M&M.NS,657.3023071289062,679.7377427512325,651.7398052350086,673.8043847638635,2981323
2018-02-21,M&M.NS,656.7459716796875,663.7917836205564,649.8855311704051,663.7917836205564,2290218
2018-02-22,M&M.NS,669.3079833984375,671.6720351451575,649.3293441185803,650.8126551717054,3325355
2018-02-23,M&M.NS,666.2485961914062,671.2084704037467,661.9376351771756,669.8641879789564,1648932
2018-02-26,M&M.NS,681.7772827148438,683.2605937988483,666.804860366108,669.3543401937156,1525511
2018-02-27,M&M.NS,685.8564453125,687.8960405772418,677.698120838226,687.8033548498553,1429191
2018-02-28,M&M.NS,675.2412719726562,681.3600572715892,672.228250475476,680.4793165939373,1814444
2018-03-01,M&M.NS,679.1351318359375,682.797123653121,674.45337061459,674.9169124500639,1831321
2018-03-05,M&M.NS,685.6708984375,688.8230048080454,669.4933374685032,673.9896695766474,2170367
2018-03-06,M&M.NS,667.407470703125,688.8230780878624,663.791822221951,688.8230780878624,1763292
2018-03-07,M&M.NS,656.1897583007812,672.8772630381632,651.2298836932696,668.4272730917997,2343794
2018-03-08,M&M.NS,673.665283203125,676.0293349350437,655.540754560807,658.7392041203154,2500680
2018-03-09,M&M.NS,675.38037109375,685.7637182463092,670.6986104490909,673.897060036823,2191343
2018-03-12,M&M.NS,683.353271484375,685.3465237782079,677.8835124148422,681.4527614976332,1867680
2018-03-13,M&M.NS,679.55224609375,686.9689145367923,677.1881943444682,683.2142374544401,1823994
2018-03-14,M&M.NS,675.1022338867188,680.7574207525355,670.3740739607538,677.6517135792028,1366237
2018-03-15,M&M.NS,681.2672729492188,684.0949228322331,676.5855126900591,677.6980241834943,1249262
2018-03-16,M&M.NS,686.7371215820312,697.1668112449375,681.916275932017,685.1147254122458,4929069
2018-03-19,M&M.NS,688.5449829101562,694.3855981194565,685.1147623635225,687.6642421964043,2081202
2018-03-20,M&M.NS,686.9225463867188,689.750139809592,678.6714804137237,686.4126617669691,1248986
2018-03-21,M&M.NS,691.0016479492188,696.007921366146,685.5782322347851,688.8230244089863,2788242
2018-03-22,M&M.NS,677.55908203125,694.2929876523025,673.0627488361271,692.577848900731,1877037
